tone_hz,band,band_idx,pos_swing,pos_corr,pos_tone,neg_swing,neg_corr,neg_tone
5000,10-18,0,4869.000,0.067,324.487,4868.000,0.067,324.290
5000,18-25,1,9056.000,0.008,69.687,9079.000,0.008,68.364
5000,25-32,2,9743.000,0.004,42.962,9845.000,0.005,46.736
5000,32-40,3,4521.000,0.009,40.859,3921.000,0.008,31.186
6000,10-18,0,1707.000,0.098,166.597,1530.000,0.093,141.861
6000,18-25,1,3310.000,0.030,98.507,3263.000,0.027,86.740
6000,25-32,2,3443.000,0.005,17.792,3436.000,0.006,20.714
6000,32-40,3,7282.000,0.002,18.008,7401.000,0.002,17.483
7000,10-18,0,2556.000,0.658,1680.584,2547.000,0.659,1678.532
7000,18-25,1,5649.000,0.019,106.222,5621.000,0.016,91.857
7000,25-32,2,8857.000,0.011,98.751,8865.000,0.011,97.411
7000,32-40,3,4514.000,0.009,41.839,4391.000,0.009,38.090
8000,10-18,0,8996.000,0.699,6284.157,9048.000,0.699,6322.793
8000,18-25,1,2032.000,0.072,145.816,2027.000,0.071,143.904
8000,25-32,2,8965.000,0.010,91.169,8795.000,0.009,77.448
8000,32-40,3,7190.000,0.009,61.662,7194.000,0.009,67.101
9000,10-18,0,21888.000,0.698,15278.207,21748.000,0.698,15182.123
9000,18-25,1,9079.000,0.007,64.138,9137.000,0.008,73.048
9000,25-32,2,5884.000,0.003,18.354,6226.000,0.002,13.534
9000,32-40,3,2288.000,0.003,5.911,2295.000,0.002,5.343
10000,10-18,0,33914.000,0.712,24151.930,33807.000,0.712,24067.365
10000,18-25,1,11349.000,0.033,378.415,11555.000,0.034,388.637
10000,25-32,2,3285.000,0.009,29.993,1537.000,0.011,16.348
10000,32-40,3,11119.000,0.002,18.940,11210.000,0.002,25.593
11000,10-18,0,37816.000,0.703,26583.449,37824.000,0.703,26600.892
11000,18-25,1,3599.000,0.019,68.115,3577.000,0.019,67.923
11000,25-32,2,6786.000,0.020,132.686,6447.000,0.018,115.119
11000,32-40,3,2167.000,0.026,57.032,1608.000,0.027,43.359
12000,10-18,0,41788.000,0.707,29547.783,41945.000,0.707,29658.409
12000,18-25,1,5068.000,0.027,136.137,4326.000,0.025,106.626
12000,25-32,2,1054.000,0.028,29.639,1061.000,0.035,37.639
12000,32-40,3,11962.000,0.001,14.643,12132.000,0.001,15.004
13000,10-18,0,48251.000,0.711,34284.763,48222.000,0.711,34277.736
13000,18-25,1,1487.000,0.082,121.238,759.000,0.137,104.330
13000,25-32,2,722.000,0.033,23.613,835.000,0.015,12.898
13000,32-40,3,16533.000,0.019,309.588,16165.000,0.018,293.348
14000,10-18,0,43296.000,0.703,30418.584,43264.000,0.702,30389.035
14000,18-25,1,883.000,0.145,128.196,1082.000,0.117,126.319
14000,25-32,2,16232.000,0.023,369.107,16155.000,0.023,366.983
14000,32-40,3,1406.000,0.017,24.468,1427.000,0.015,21.501
15000,10-18,0,40326.000,0.707,28514.830,40511.000,0.707,28644.344
15000,18-25,1,3440.000,0.692,2379.612,3479.000,0.693,2412.094
15000,25-32,2,8165.000,0.003,24.947,7631.000,0.004,26.923
15000,32-40,3,1618.000,0.017,27.481,1430.000,0.024,34.388
16000,10-18,0,39758.000,0.703,27933.858,39709.000,0.703,27908.888
16000,18-25,1,12596.000,0.711,8960.465,12487.000,0.711,8883.925
16000,25-32,2,5283.000,0.024,128.351,5539.000,0.021,118.750
16000,32-40,3,5170.000,0.022,113.293,4858.000,0.022,107.633
17000,10-18,0,32311.000,0.710,22927.407,31952.000,0.709,22665.985
17000,18-25,1,28580.000,0.707,20206.906,28508.000,0.707,20159.754
17000,25-32,2,2367.000,0.011,24.979,2785.000,0.006,16.599
17000,32-40,3,7150.000,0.019,136.660,6566.000,0.016,102.571
18000,10-18,0,14648.000,0.707,10356.015,14807.000,0.707,10469.906
18000,18-25,1,30816.000,0.707,21788.098,30845.000,0.707,21811.983
18000,25-32,2,773.000,0.012,9.488,777.000,0.021,16.591
18000,32-40,3,5949.000,0.004,26.514,6134.000,0.005,29.046
19000,10-18,0,8350.000,0.704,5881.135,8333.000,0.704,5866.333
19000,18-25,1,40540.000,0.706,28617.084,42227.000,0.706,29810.497
19000,25-32,2,749.000,0.098,73.490,536.000,0.106,56.855
19000,32-40,3,5045.000,0.017,85.421,5093.000,0.017,88.460
20000,10-18,0,4552.000,0.706,3215.116,4442.000,0.707,3142.218
20000,18-25,1,63811.000,0.703,44859.709,63753.000,0.703,44822.773
20000,25-32,2,649.000,0.104,67.459,757.000,0.095,71.740
20000,32-40,3,1006.000,0.040,39.962,1173.000,0.033,38.947
21000,10-18,0,1162.000,0.655,760.825,1164.000,0.655,762.001
21000,18-25,1,57329.000,0.707,40533.916,57319.000,0.707,40527.901
21000,25-32,2,1035.000,0.077,79.555,1026.000,0.079,81.053
21000,32-40,3,3458.000,0.009,29.461,3457.000,0.009,30.241
22000,10-18,0,283.000,0.067,18.999,263.000,0.037,9.740
22000,18-25,1,37806.000,0.703,26586.408,37728.000,0.703,26526.075
22000,25-32,2,1544.000,0.665,1026.785,1494.000,0.662,989.612
22000,32-40,3,690.000,0.063,43.399,862.000,0.064,54.947
23000,10-18,0,464.000,0.040,18.448,455.000,0.047,21.553
23000,18-25,1,33516.000,0.707,23697.563,33474.000,0.707,23655.048
23000,25-32,2,5648.000,0.705,3984.278,5887.000,0.703,4135.986
23000,32-40,3,1053.000,0.039,40.894,1062.000,0.043,45.872
24000,10-18,0,218.000,0.343,74.869,218.000,0.343,74.732
24000,18-25,1,23089.000,0.707,16320.558,22733.000,0.707,16069.899
24000,25-32,2,14358.000,0.704,10111.562,14036.000,0.705,9899.717
24000,32-40,3,503.000,0.076,38.470,865.000,0.056,48.024
25000,10-18,0,783.000,0.043,33.995,685.000,0.016,10.915
25000,18-25,1,20529.000,0.708,14532.403,20553.000,0.707,14537.945
25000,25-32,2,22521.000,0.701,15777.392,21467.000,0.702,15076.863
25000,32-40,3,1387.000,0.025,35.185,1461.000,0.026,38.365
26000,10-18,0,279.000,0.293,81.826,234.000,0.394,92.160
26000,18-25,1,9110.000,0.709,6461.845,9154.000,0.709,6493.723
26000,25-32,2,33420.000,0.704,23538.214,33420.000,0.705,23545.391
26000,32-40,3,610.000,0.055,33.386,518.000,0.023,12.167
27000,10-18,0,255.000,0.033,8.500,265.000,0.014,3.692
27000,18-25,1,3646.000,0.701,2555.757,3674.000,0.703,2581.102
27000,25-32,2,41691.000,0.707,29476.690,41643.000,0.707,29443.220
27000,32-40,3,722.000,0.022,15.871,584.000,0.024,13.881
28000,10-18,0,276.000,0.275,75.929,269.000,0.212,57.114
28000,18-25,1,983.000,0.488,480.039,979.000,0.518,506.983
28000,25-32,2,39713.000,0.706,28021.938,39477.000,0.705,27841.437
28000,32-40,3,698.000,0.017,11.757,805.000,0.041,33.382
29000,10-18,0,393.000,0.036,14.330,275.000,0.042,11.634
29000,18-25,1,947.000,0.096,90.592,839.000,0.082,69.094
29000,25-32,2,29642.000,0.704,20879.007,29731.000,0.704,20931.561
29000,32-40,3,1656.000,0.616,1019.593,1631.000,0.615,1003.857
30000,10-18,0,395.000,0.112,44.209,375.000,0.114,42.666
30000,18-25,1,820.000,0.035,28.367,840.000,0.031,26.269
30000,25-32,2,52116.000,0.707,36849.962,52257.000,0.707,36949.491
30000,32-40,3,6746.000,0.699,4712.563,6727.000,0.699,4699.814
31000,10-18,0,603.000,0.048,29.097,558.000,0.042,23.245
31000,18-25,1,843.000,0.041,34.906,839.000,0.041,34.499
31000,25-32,2,53182.000,0.710,37743.093,53409.000,0.709,37892.427
31000,32-40,3,15286.000,0.704,10763.829,15393.000,0.704,10833.544
32000,10-18,0,234.000,0.336,78.716,236.000,0.337,79.606
32000,18-25,1,368.000,0.075,27.730,367.000,0.063,23.202
